Ajoutez au moins deux choix.	src/components/PollComposerModal.tsx:alert
Ajoutez un texte, une photo, une vidéo ou un message vocal.	app/new-highlight.tsx:alert
Ajoutez une question de sondage claire.	src/components/PollComposerModal.tsx:alert
Annonces officielles · réactions autorisées	app/group/[id].tsx:jsx
Annuaire de l’écosystème Neptune.	app/(tabs)/contacts.tsx:attr:subtitle
Annuaire des membres Neptune	app/(tabs)/contacts.tsx:attr:accessibilityLabel
Annuaire non connecté	app/(tabs)/contacts.tsx:jsx
Annuler	app/call/[id].tsx:attr:label | app/schedule-message/[id].tsx:jsx
Annuler ce rendez-vous	app/(tabs)/calls.tsx:attr:accessibilityLabel
Annuler la réponse	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Annuler le vocal	src/components/InlineVoiceRecorder.tsx:attr:accessibilityLabel
Aperçu sécurisé dans Connexio	src/components/InAppAttachmentViewer.native.tsx:jsx | src/components/InAppAttachmentViewer.web.tsx:jsx
Appareils et sessions	app/account.tsx:jsx
Apparence	app/(tabs)/settings.tsx:jsx
Appel audio Connexio	app/profile/[id].tsx:jsx
Appel impossible	app/profile/[id].tsx:alert
Appeler en audio	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Appeler en vidéo	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Appels	app/(tabs)/calls.tsx:attr:title
Aucun achat dans Connexio	app/membership-required.tsx:jsx
Aucun Amiral ou Capitaine visible.	app/group/[id].tsx:jsx
Aucun appel programmé	app/(tabs)/calls.tsx:jsx
Aucun espace accessible	app/(tabs)/communities.tsx:jsx
Aucun membre bloqué	app/blocked-users.tsx:jsx
Aucun membre fictif n’est affiché. L’annuaire sera activé après validation de l’endpoint Neptune et des règles de confidentialité.	app/(tabs)/contacts.tsx:jsx
Aucun membre ne correspond à cette recherche.	app/(tabs)/calls.tsx:jsx
Aucun membre visible.	app/group/[id].tsx:jsx
Aucun numéro SMS	app/contact-actions.tsx:jsx
Aucun profil ne correspond à cette recherche.	app/contact-actions.tsx:jsx
Aucun Temps fort partagé récemment.	app/profile/[id].tsx:jsx
Aucun Temps fort visible.	app/(tabs)/highlights.tsx:jsx
Aucune application ne peut lire ce média.	src/components/HighlightMediaView.tsx:alert
Aucune application ne peut ouvrir ce contenu.	src/components/MessageAttachmentView.tsx:alert | src/components/MessageAttachmentsGrid.tsx:alert
Aucune automatisation	app/schedule-message/[id].tsx:jsx
Aucune réponse	app/call/[id].tsx:attr:title
Aucune session active trouvée.	app/account.tsx:jsx
Automatisations	app/group/[id].tsx:jsx
Automatisations du groupe	app/schedule-message/[id].tsx:jsx
Automatisations indisponibles	app/schedule-message/[id].tsx:alert
Automatisations non autorisées	app/schedule-message/[id].tsx:jsx
Automatisations partagées	app/schedule-message/[id].tsx:jsx
Autorisation globale, sons, badges et écran verrouillé.	app/notification-settings.tsx:jsx
Autorisation impossible	app/group/[id].tsx:alert
Autoriser la découverte du groupe aux comptes Free	app/group/[id].tsx:attr:accessibilityLabel
Autoriser les membres à publier	app/group/[id].tsx:attr:accessibilityLabel | src/screens/NewConversationScreen.tsx:attr:accessibilityLabel
Autoriser plusieurs réponses	src/components/PollComposerModal.tsx:attr:accessibilityLabel
Autorisez la localisation dans les réglages de l’appareil pour vous positionner sur la carte.	src/components/NeptuneMap.native.tsx:alert
Besoin d’aide ?	app/community-guidelines.tsx:jsx
Blocage impossible	app/profile/[id].tsx:alert
Bloquer	app/profile/[id].tsx:attr:confirmLabel
by Neptune	app/sign-in.tsx:jsx
CAPTUREZ L’INSTANT	app/new-highlight.tsx:jsx
Ce fichier n’est plus accessible.	src/components/InAppAttachmentViewer.native.tsx:jsx | src/components/InAppAttachmentViewer.web.tsx:jsx | src/components/MessageAttachmentView.tsx:alert
Ce groupe n’existe plus ou n’est plus accessible.	app/schedule-message/[id].tsx:jsx
Ce lien est temporairement indisponible.	app/privacy.tsx:alert
Ce lien ne peut pas être ouvert sur cet appareil.	app/privacy.tsx:alert
Ce média n’est plus accessible.	src/components/HighlightMediaView.tsx:alert
Ce message vocal n’est plus accessible.	src/components/MessageAttachmentView.tsx:alert
Ce navigateur ne prend pas en charge l’enregistrement vocal intégré.	src/components/VoiceRecorderModal.web.tsx:alert
Cet objet sera affiché dans le rendez-vous, les rappels et au moment de l’appel.	app/schedule-call.tsx:jsx
Cette action est définitive.	app/schedule-message/[id].tsx:alert
Cette application ne propose pas d’achat, d’abonnement ni de paiement externe. Si votre statut Neptune Business a changé récemment, reconnectez-vous ou resynchronisez votre profil.	app/membership-required.tsx:jsx
Cette demande révoque les sessions et lance le traitement de suppression des données selon les obligations applicables.	app/account.tsx:alert
Cette destination n’existe pas	app/+not-found.tsx:jsx
Cette personne perdra immédiatement l’accès au groupe.	app/group/[id].tsx:alert
Cette personne pourra de nouveau vous contacter, vous mentionner et vous inviter selon vos autres réglages.	app/blocked-users.tsx:alert
Changer la langue de Connexio	app/(tabs)/settings.tsx:attr:accessibilityLabel
Chaque réponse doit être différente.	src/components/PollComposerModal.tsx:alert
Chargement de Connexio	app/_layout.tsx:attr:accessibilityLabel
Chargement des blocages…	app/blocked-users.tsx:jsx
Chargement des messages	src/components/ChatLoadingOverlay.tsx:attr:accessibilityLabel | src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Chargement des messages précédents	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Chargement des préférences…	app/notification-settings.tsx:jsx
Choisir dans mes contacts	app/schedule-call.tsx:jsx
Choisir et recadrer l’image du groupe	src/screens/NewConversationScreen.tsx:attr:accessibilityLabel
Choisir les alertes utiles	app/notification-settings.tsx:jsx
Choisir un contact du téléphone	app/contact-actions.tsx:attr:accessibilityLabel
Choisir un membre Connexio ou, si besoin, un contact du téléphone.	app/profile/[id].tsx:jsx
Choisissez la langue par défaut de Connexio et des traductions automatiques.	app/(tabs)/settings.tsx:jsx
Choisissez une personne ci-dessus ou recherchez-la pour lui proposer un créneau.	app/(tabs)/calls.tsx:jsx
Choix en double	src/components/PollComposerModal.tsx:alert
COMITÉ AVANTAGE	src/components/AdvantageAdCard.tsx:jsx
commentaires	src/components/HighlightCard.tsx:jsx
Commentaires ·	app/highlight/[id].tsx:jsx
Commenter	src/components/HighlightCard.tsx:jsx
Commenter la publication	src/components/HighlightCard.tsx:attr:accessibilityLabel
Compte	app/account.tsx:jsx
Conditions applicables à l’utilisation des services Neptune et de Connexio.	app/privacy.tsx:attr:subtitle
Conditions d’utilisation	app/privacy.tsx:attr:title
Confidentialité	app/privacy.tsx:jsx
Confirmer avec votre mot de passe Neptune	app/account.tsx:jsx
Confirmez la suppression avec le mot de passe de votre compte Neptune.	app/account.tsx:alert
Connexio	app/(tabs)/settings.tsx:jsx
CONNEXIO	app/sign-in.tsx:jsx
Connexio peut suivre automatiquement le thème de votre téléphone.	app/(tabs)/settings.tsx:jsx
Connexio prépare le SMS avec le destinataire et le texte déjà renseignés. Android/iOS demandent ensuite la validation finale dans l’application SMS du téléphone.	app/contact-actions.tsx:jsx
Connexio reconnaît automatiquement le statut associé à votre compte Neptune Business. Certaines fonctions sont disponibles uniquement pour les niveaux d’adhésion concernés.	app/membership-required.tsx:jsx
Consultez l’objet de l’appel avant de répondre.	app/call/[id].tsx:attr:description
contact	src/screens/NewConversationScreen.tsx:jsx
Contact requis	src/screens/NewConversationScreen.tsx:alert
Contacter le support Neptune	app/privacy.tsx:attr:accessibilityLabel | app/privacy.tsx:jsx
Contenu indisponible	src/components/HighlightMediaView.tsx:alert | src/components/MessageAttachmentView.tsx:alert | src/components/MessageAttachmentsGrid.tsx:alert
Contenus interdits, signalement, blocage et règles de modération.	app/privacy.tsx:attr:subtitle
Conversation	src/components/NeptuneTabBar.tsx:jsx
Conversation déjà ouverte	src/screens/NewConversationScreen.tsx:alert | src/screens/NewConversationScreen.tsx:jsx
Conversation en lecture seule	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Conversation impossible	app/profile/[id].tsx:alert
Conversation introuvable	app/conversation/[id].tsx:jsx | src/screens/ChatConversationScreen.tsx:jsx
Création impossible	src/screens/NewConversationScreen.tsx:alert
Créée par	app/schedule-message/[id].tsx:jsx
Créer	app/sign-in.tsx:jsx | src/screens/NewConversationScreen.tsx:attr:accessibilityLabel | src/screens/NewConversationScreen.tsx:jsx
Créer un compte Neptune	app/sign-in.tsx:attr:accessibilityLabel
Créer un sondage	src/components/PollComposerModal.tsx:jsx | src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Créez le premier envoi automatique de ce groupe.	app/schedule-message/[id].tsx:jsx
Créez votre compte sur Neptune Business, puis revenez vous connecter ici.	app/sign-in.tsx:jsx
Date	app/schedule-message/[id].tsx:jsx
Déblocage impossible	app/blocked-users.tsx:alert
Débloquer	app/blocked-users.tsx:jsx
Découverte par les comptes Free	app/group/[id].tsx:jsx
Découvrir le Comité Avantage Neptune	src/components/AdvantageAdCard.tsx:attr:accessibilityLabel
Découvrir les avantages	src/components/AdvantageAdCard.tsx:jsx
Définit aussi la langue de lecture automatique des messages traduits.	src/components/LanguagePickerModal.tsx:jsx
Démarrage rapide	app/schedule-message/[id].tsx:jsx
Démarrer la mise en relation ?	app/profile/[id].tsx:attr:title
Depuis le sélecteur du téléphone	app/(tabs)/calls.tsx:jsx
Derniers Temps forts	app/profile/[id].tsx:jsx
Des offres négociées pour les membres Neptune.	src/components/AdvantageAdCard.tsx:jsx
Description	app/group/[id].tsx:jsx
Description du groupe	app/group/[id].tsx:attr:placeholder | src/screens/NewConversationScreen.tsx:attr:placeholder
Dictée indisponible	src/components/VoicePromptInput.tsx:alert
Discussion individuelle ou mini-groupe de	src/screens/NewConversationScreen.tsx:jsx
Discussions indisponibles	app/(tabs)/messages.tsx:jsx
Documents et droits	app/privacy.tsx:jsx
Données collectées, finalités, destinataires, conservation et exercice de vos droits.	app/privacy.tsx:attr:subtitle
Donnez le ton	app/new-highlight.tsx:jsx
Échanger à ce sujet	app/profile/[id].tsx:jsx
Échanger par message	app/call/[id].tsx:attr:label
Écrire un message	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Écrire un message…	src/screens/ChatConversationScreen.tsx:attr:placeholder
Écrivez la raison de l’appel ou utilisez le microphone	src/components/VoicePromptInput.tsx:attr:accessibilityHint
Écrivez le message qui sera envoyé…	app/schedule-message/[id].tsx:attr:placeholder
Effacer la recherche	app/(tabs)/calls.tsx:attr:accessibilityLabel
Effets du blocage	app/blocked-users.tsx:jsx
Elle a été supprimée, masquée ou n’est plus accessible.	app/highlight/[id].tsx:jsx
Elle a peut-être été supprimée, masquée par votre statut ou vous avez quitté le groupe.	src/screens/ChatConversationScreen.tsx:jsx
en attente ·	src/components/EventVoteBanner.tsx:jsx
Enregistré à	app/group/[id].tsx:jsx
Enregistrement impossible	app/group/[id].tsx:alert | app/notification-settings.tsx:alert | app/schedule-message/[id].tsx:alert
Enregistrer	app/group/[id].tsx:jsx
Enregistrer les paramètres	app/group/[id].tsx:attr:accessibilityLabel
Enregistrer un message vocal	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel | src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Enregistrer un Temps fort vocal	app/new-highlight.tsx:attr:accessibilityLabel
Enregistrez puis envoyez-le comme une pièce jointe sécurisée.	src/components/VoiceRecorderModal.web.tsx:jsx
Entrer dans la démonstration Connexio	app/sign-in.tsx:attr:accessibilityLabel
Entrer en démonstration	app/sign-in.tsx:jsx
Envoi du vocal impossible	src/screens/ChatConversationScreen.tsx:alert
Envoi impossible	src/screens/ChatConversationScreen.tsx:alert
Envoyer	app/contact-actions.tsx:attr:confirmLabel
Envoyer et discuter	app/profile/[id].tsx:attr:confirmLabel
Envoyer la demande d’appel	app/schedule-call.tsx:attr:accessibilityLabel
Envoyer la recommandation	app/contact-actions.tsx:jsx
Envoyer le message	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Envoyer le vocal	src/components/InlineVoiceRecorder.tsx:attr:accessibilityLabel
Espaces Neptune	app/(tabs)/communities.tsx:attr:title
Espaces Neptune accessibles	app/(tabs)/communities.tsx:attr:accessibilityLabel
Ex. Rappel atelier chaque lundi	app/schedule-message/[id].tsx:attr:placeholder
Ex. Téléski nautique de Bram	app/new-highlight.tsx:attr:placeholder
Ex. Valider le lieu de l’afterwork de vendredi	app/call/[id].tsx:attr:placeholder
Ex. Valider le partenariat avant la conférence	app/schedule-call.tsx:attr:placeholder
Exclure	src/components/SwipeableMemberRow.tsx:jsx
Expliquez brièvement pourquoi vous appelez. Le destinataire verra cette information avant de répondre.	app/call/[id].tsx:alert
Export impossible	app/account.tsx:alert
Fermer	app/call/[id].tsx:attr:label | app/group/_layout.tsx:attr:accessibilityLabel | app/new-highlight.tsx:attr:accessibilityLabel | src/components/ActionSheet.tsx:attr:accessibilityLabel
Fermer l’aperçu	src/components/InAppAttachmentViewer.native.tsx:attr:accessibilityLabel | src/components/InAppAttachmentViewer.web.tsx:attr:accessibilityLabel
Fermer l’enregistreur vocal	src/components/VoiceRecorderModal.web.tsx:attr:accessibilityLabel
Fermer la création	src/screens/NewConversationScreen.tsx:attr:accessibilityLabel
Fermer le sondage	src/components/PollComposerModal.tsx:attr:accessibilityLabel
Fermer les actions rapides	src/components/NeptuneTabBar.tsx:attr:accessibilityLabel
Fermer les options	src/components/ActionSheet.tsx:attr:accessibilityLabel
Fonction réservée à votre niveau d’adhésion	app/membership-required.tsx:jsx
Gérer	src/components/SwipeableMemberRow.tsx:jsx
Gérez ici les informations essentielles liées à la confidentialité, à la modération et à vos droits sur votre compte Connexio.	app/privacy.tsx:jsx
Gestion impossible	app/group/[id].tsx:alert
Glisser à gauche ou toucher Gérer	src/components/SwipeableMemberRow.tsx:jsx
Groupe introuvable	app/group/[id].tsx:jsx | app/schedule-message/[id].tsx:jsx
Groupe officiel	src/screens/NewConversationScreen.tsx:jsx
Groupes et échanges privés Neptune.	app/(tabs)/messages.tsx:attr:subtitle
Heure	app/schedule-message/[id].tsx:jsx
HH:MM	app/schedule-message/[id].tsx:attr:placeholder
Icône de remplacement	app/group/[id].tsx:jsx | src/screens/NewConversationScreen.tsx:jsx
Identité du groupe	src/screens/NewConversationScreen.tsx:jsx
Il disparaîtra de vos discussions privées.	app/conversation/[id].tsx:alert
Ils peuvent voir le groupe, mais doivent passer Triton pour le rejoindre.	app/group/[id].tsx:jsx
Image indisponible	app/group/[id].tsx:alert | src/screens/NewConversationScreen.tsx:alert
Impossible de rejoindre le groupe	app/(tabs)/messages.tsx:alert | app/(tabs)/messages.tsx:alert | app/group/[id].tsx:alert
Indiquez le nom du groupe.	src/screens/NewConversationScreen.tsx:alert
Informations	app/conversation/[id].tsx:jsx
Informations du groupe	app/group/[id].tsx:jsx
Invitation envoyée	app/(tabs)/calls.tsx:jsx
Invité externe	app/schedule-call.tsx:jsx
Inviter un contact	app/(tabs)/calls.tsx:jsx
Je confirme avoir lu et j’accepte les règles d’utilisation de Connexio avant d’envoyer ou de publier du contenu.	app/sign-in.tsx:jsx
Je rappelle dans 10 min	app/call/[id].tsx:attr:label
JJ/MM/AAAA	app/schedule-message/[id].tsx:attr:placeholder
Jusqu’à 10 contenus et 120 Mo par message. Les médias sont regroupés dans une grille compacte et restent téléchargeables.	src/screens/ChatConversationScreen.tsx:jsx
L’ajout réel sera synchronisé dès que l’endpoint de gestion des membres sera branché au backend Connexio. Aucun faux ajout serveur n’est effectué.	app/group/_layout.tsx:alert
L’enregistrement vocal a été interrompu par le navigateur.	src/components/VoiceRecorderModal.web.tsx:alert
L’utilisation de Connexio implique le respect de ces règles pour tous les messages, profils, groupes, commentaires, médias, appels et Temps forts.	app/community-guidelines.tsx:jsx
La discussion disparaîtra de votre liste. Elle réapparaîtra si un nouveau message arrive ou si vous reprenez contact avec cette personne.	app/(tabs)/messages.tsx:attr:message
La durée maximale est de 60 secondes.	app/new-highlight.tsx:alert
La limite de quatre contacts, les invitations, les départs et les droits d’administration doivent être validés côté serveur.	app/conversation/[id].tsx:jsx
La modération Neptune examinera ce contenu.	src/components/HighlightCard.tsx:alert
La modération Neptune va examiner ce profil.	app/profile/[id].tsx:alert
La position n’a pas pu être obtenue. Vérifiez le GPS et la connexion réseau.	src/components/NeptuneMap.native.tsx:alert
La session est protégée par un cookie httpOnly Neptune. Le mot de passe n’est jamais conservé dans Connexio.	app/sign-in.tsx:jsx
Laisser un message	app/call/[id].tsx:attr:label
Langue	app/(tabs)/settings.tsx:jsx
Langue active :	app/(tabs)/settings.tsx:jsx
Langue de Connexio	src/components/LanguagePickerModal.tsx:jsx
Langue du téléphone	src/components/LanguagePickerModal.tsx:attr:label
Le code doit être généré depuis une session Neptune Business déjà authentifiée. Il expire rapidement et ne peut être utilisé qu’une fois.	app/access-help.tsx:jsx
Le contenu n’est plus accessible.	src/components/MessageAttachmentsGrid.tsx:alert
Le groupe doit conserver un nom.	app/group/[id].tsx:alert
Le groupe est supprimé, masqué ou votre statut ne permet plus d’y accéder.	app/group/[id].tsx:jsx
Le lien est invalide, a expiré ou pointe vers un contenu auquel votre statut ne donne plus accès.	app/+not-found.tsx:jsx
Le membre n’a pas rendu son numéro disponible dans son profil Neptune.	app/profile/[id].tsx:alert
Le membre n’est plus visible ou son profil n’a pas encore été synchronisé.	app/profile/[id].tsx:jsx
Le message a été envoyé, mais les notifications ne sont pas autorisées sur cet appareil.	app/call/[id].tsx:alert
Le message vocal n’a pas pu être récupéré depuis le microphone.	src/components/VoiceRecorderModal.native.tsx:alert
Le profil Neptune Business ne peut pas être ouvert.	app/profile/[id].tsx:alert
Le signalement est simulé en démonstration.	src/components/HighlightCard.tsx:alert
Le signalement sera envoyé à Neptune.	app/group/[id].tsx:alert
Lecture seule — seuls les responsables autorisés peuvent publier.	src/screens/ChatConversationScreen.tsx:jsx
Lecture seule · gestion réservée au créateur ou aux Visionnaires	app/schedule-message/[id].tsx:jsx
Les blocages décidés depuis un profil apparaîtront ici et seront appliqués à la messagerie, aux appels, aux invitations et aux mentions.	app/blocked-users.tsx:jsx
Les comptes Free peuvent publier uniquement des Besoins. L’abonnement Triton débloque tous les formats.	app/new-highlight.tsx:alert
Les contours pulsants indiquent une publication récente.	app/(tabs)/highlights.tsx:jsx
Les conversations resteront désactivées jusqu’à l’activation du backend sécurisé.	app/(tabs)/messages.tsx:jsx
Les espaces apparaîtront après la synchronisation de votre club et de votre rôle Neptune.	app/(tabs)/communities.tsx:jsx
Les fonctions sont classées par usage pour retrouver rapidement ce que vous cherchez.	app/(tabs)/settings.tsx:jsx
Les groupes sont attribués selon la ville et le rôle.	app/(tabs)/communities.tsx:attr:subtitle
Les informations Neptune Business sont maintenant à jour.	app/account.tsx:alert
Les membres ne peuvent jamais répondre dans Annonces. Ils peuvent uniquement réagir.	app/group/[id].tsx:jsx
Les membres peuvent publier	app/group/[id].tsx:jsx | src/screens/NewConversationScreen.tsx:jsx
Les préférences sont enregistrées sur le compte Neptune et appliquées à tous les appareils connectés.	app/notification-settings.tsx:jsx
Les règles du groupe sont actives.	app/group/[id].tsx:alert
Les Visionnaires administrent tous les groupes. Les Amiraux et Capitaines nommés responsables peuvent gérer les membres et les automatisations de ce groupe.	app/group/[id].tsx:jsx
Les Visionnaires publient toujours. Vous pouvez autoriser des Amiraux ou Capitaines individuellement.	app/group/[id].tsx:jsx
Les votes sont synchronisés en temps réel dans la conversation.	src/components/PollComposerModal.tsx:jsx
Lieu du Temps fort	app/new-highlight.tsx:jsx
Limite atteinte	src/screens/ChatConversationScreen.tsx:alert | src/screens/NewConversationScreen.tsx:alert
Lire le Temps fort vocal	src/components/HighlightMediaView.tsx:attr:accessibilityLabel
Lire les conditions d’utilisation	app/sign-in.tsx:jsx
Lire les conditions d’utilisation Neptune	app/sign-in.tsx:attr:accessibilityLabel
Liste indisponible	app/blocked-users.tsx:alert
Localisation impossible	app/new-highlight.tsx:alert
Localisation indisponible	src/components/NeptuneMap.native.tsx:alert
Localisation refusée	src/components/NeptuneMap.native.tsx:alert
Masquer	src/components/SwipeableConversationRow.tsx:jsx
Masquer la conversation	src/components/SwipeableConversationRow.tsx:attr:accessibilityLabel
Me localiser	src/components/NeptuneMap.native.tsx:attr:accessibilityLabel
Média indisponible	app/new-highlight.tsx:alert
membre	app/group/[id].tsx:jsx
Membre introuvable	app/schedule-call.tsx:jsx
Membres	app/(tabs)/contacts.tsx:attr:title | app/conversation/[id].tsx:jsx | app/group/[id].tsx:jsx
membres ·	app/(tabs)/communities.tsx:jsx
Membres bloqués	app/blocked-users.tsx:jsx
Membres disponibles	app/group/_layout.tsx:jsx
membres maximum	app/conversation/[id].tsx:jsx
Mes derniers Temps forts	app/(tabs)/settings.tsx:jsx
Mes données et mon compte	app/privacy.tsx:attr:title
Message	app/profile/[id].tsx:attr:label | app/schedule-message/[id].tsx:jsx
Message vocal	src/components/VoiceRecorderModal.web.tsx:jsx
Messagerie temporairement protégée	app/(tabs)/messages.tsx:jsx
Messages	app/(tabs)/messages.tsx:attr:title | app/(tabs)/messages.tsx:attr:title | app/conversation/[id].tsx:jsx | app/group/[id].tsx:jsx
Microphone indisponible	src/components/InlineVoiceRecorder.tsx:alert | src/components/VoiceRecorderModal.web.tsx:alert
Microphone interrompu	src/components/VoiceRecorderModal.web.tsx:alert
Microphone non compatible	src/components/VoiceRecorderModal.web.tsx:alert
Mini-groupe privé ·	app/conversation/[id].tsx:jsx
minutes maximum ·	src/components/VoiceRecorderModal.web.tsx:jsx
Mise en relation impossible	app/profile/[id].tsx:alert
Mo	src/screens/ChatConversationScreen.tsx:jsx
Mo /	src/screens/ChatConversationScreen.tsx:jsx
Mo maximum · transcription générée après l’envoi lorsqu’elle est disponible.	src/components/VoiceRecorderModal.web.tsx:jsx
Mode démonstration.	app/group/[id].tsx:alert
Modification impossible	app/schedule-message/[id].tsx:alert
Modification réservée	app/schedule-message/[id].tsx:alert
Modifier	app/schedule-message/[id].tsx:jsx
Mon activité	app/(tabs)/settings.tsx:jsx
Mot de passe Neptune	app/sign-in.tsx:jsx | app/sign-in.tsx:attr:accessibilityLabel
Mot de passe pour supprimer le compte	app/account.tsx:attr:accessibilityLabel
Mot de passe requis	app/account.tsx:alert
Ne communiquez jamais un code reçu à une autre personne. Neptune ne vous demandera pas ce code par téléphone ou message.	app/access-help.tsx:jsx
Nom	app/group/[id].tsx:jsx
Nom de l’automatisation	app/schedule-message/[id].tsx:jsx
Nom du groupe	src/screens/NewConversationScreen.tsx:attr:placeholder
Nom du mini-groupe (facultatif)	src/screens/NewConversationScreen.tsx:attr:placeholder
Nom requis	app/group/[id].tsx:alert | src/screens/NewConversationScreen.tsx:alert
Nom, entreprise, ville…	app/(tabs)/calls.tsx:attr:placeholder | app/contact-actions.tsx:attr:placeholder
Notifications	app/notification-settings.tsx:jsx
Nouveau Temps fort	app/new-highlight.tsx:jsx
Nouvelle conversation	src/components/NeptuneTabBar.tsx:attr:accessibilityLabel | src/screens/NewConversationScreen.tsx:jsx
OBJET	app/(tabs)/calls.tsx:jsx
Objet de l’appel	app/call/[id].tsx:jsx | app/call/[id].tsx:jsx | src/components/VoicePromptInput.tsx:attr:accessibilityLabel
Objet de l’appel requis	app/call/[id].tsx:alert
Objet du rendez-vous	app/schedule-call.tsx:jsx
Obtenir un code Connexio	app/access-help.tsx:jsx
Options de la publication	src/components/HighlightCard.tsx:attr:accessibilityLabel
Options du Temps fort	src/components/HighlightCard.tsx:attr:title
Ouverture impossible	src/components/HighlightMediaView.tsx:alert | src/components/MessageAttachmentView.tsx:alert | src/components/MessageAttachmentsGrid.tsx:alert
Ouverture sécurisée…	app/profile/[id].tsx:jsx
Ouvrez la conversation pour laisser un message vocal ou écrire un message.	app/call/[id].tsx:attr:description
Ouvrir la conversation déjà existante	src/screens/NewConversationScreen.tsx:attr:accessibilityLabel
Ouvrir la photo	src/components/HighlightMediaView.tsx:attr:accessibilityLabel
Ouvrir la vidéo en plein écran	src/components/MessageAttachmentView.tsx:attr:accessibilityLabel
Ouvrir le Temps fort	app/(tabs)/highlights.tsx:attr:accessibilityLabel
Ouvrir le vote d’évènement Neptune	src/components/PollMessageCard.tsx:attr:accessibilityLabel
Ouvrir les automatisations du groupe	app/group/[id].tsx:attr:accessibilityLabel
Ouvrir les paramètres du groupe	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Ouvrir les réglages de Connexio	app/contact-actions.tsx:jsx | app/schedule-call.tsx:jsx
Ouvrir les réglages système	app/notification-settings.tsx:attr:accessibilityLabel
Ouvrir mon compte	app/membership-required.tsx:attr:accessibilityLabel
Ouvrir mon profil Neptune Business	app/(tabs)/settings.tsx:attr:accessibilityLabel
Ouvrir Neptune Business	app/access-help.tsx:jsx
Paramètres enregistrés	app/group/[id].tsx:alert
Partage impossible	src/components/HighlightCard.tsx:alert | src/components/HighlightShareButton.tsx:alert
Partager	src/components/HighlightCard.tsx:jsx
Partager ✦	app/new-highlight.tsx:jsx
Partager la publication	src/components/HighlightCard.tsx:attr:accessibilityLabel | src/components/HighlightShareButton.tsx:attr:accessibilityLabel
partages	src/components/HighlightCard.tsx:jsx
Partagez un moment, une offre ou un besoin… Utilisez @ pour mentionner.	app/new-highlight.tsx:attr:placeholder
participants	src/screens/NewConversationScreen.tsx:jsx
participants au total, vous compris.	src/screens/NewConversationScreen.tsx:jsx
Pas encore de compte Neptune ?	app/sign-in.tsx:jsx
Passez Triton	app/call/[id].tsx:alert | app/new-highlight.tsx:alert | src/screens/NewConversationScreen.tsx:alert
Personnes autorisées à publier	app/group/[id].tsx:jsx
Photo	app/new-highlight.tsx:jsx
Photo indisponible	src/components/HighlightMediaView.tsx:jsx
